promo_id,store_id,store_name,province,item_id,item_name,category,start_date,end_date,duration_days,discount_pct,promo_type
1,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2023-07-03,2023-07-10,8,20.0,Catalogue
2,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2023-01-29,2023-02-09,12,30.0,Catalogue
3,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2025-01-12,2025-01-20,9,20.0,Catalogue
4,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2025-03-07,2025-03-19,13,50.0,Clearance
5,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2025-04-25,2025-05-02,8,50.0,Clearance
6,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2023-06-07,2023-06-15,9,15.0,In-Store Display
7,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2023-12-29,2024-01-11,14,15.0,In-Store Display
8,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2025-11-03,2025-11-07,5,15.0,In-Store Display
9,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2023-10-19,2023-10-30,12,10.0,In-Store Display
10,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2023-03-15,2023-03-24,10,30.0,Catalogue
11,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2025-02-11,2025-02-17,7,25.0,Catalogue
12,1,Sydney CBD,New South Wales,1,Long Grain Rice 2kg,Staples,2024-07-10,2024-07-22,13,30.0,Catalogue
13,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2025-11-28,2025-12-05,8,20.0,Catalogue
14,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2023-07-05,2023-07-14,10,20.0,Catalogue
15,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2023-01-21,2023-01-27,7,10.0,In-Store Display
16,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2024-09-29,2024-10-06,8,25.0,Catalogue
17,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2025-05-08,2025-05-14,7,10.0,In-Store Display
18,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2023-12-02,2023-12-12,11,10.0,In-Store Display
19,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2023-05-27,2023-06-08,13,30.0,Catalogue
20,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2023-02-28,2023-03-05,6,25.0,Catalogue
21,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2025-07-05,2025-07-12,8,15.0,In-Store Display
22,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2025-01-21,2025-01-27,7,15.0,In-Store Display
23,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2023-09-14,2023-09-23,10,25.0,Catalogue
24,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2023-10-18,2023-10-29,12,10.0,In-Store Display
25,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2025-03-22,2025-04-01,11,15.0,In-Store Display
26,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2024-11-05,2024-11-12,8,15.0,In-Store Display
27,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2024-04-01,2024-04-13,13,15.0,In-Store Display
28,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2023-08-09,2023-08-16,8,10.0,In-Store Display
29,1,Sydney CBD,New South Wales,2,Dried Pasta 500g,Staples,2024-07-05,2024-07-11,7,10.0,In-Store Display
30,1,Sydney CBD,New South Wales,3,White Bread Loaf,Staples,2023-03-13,2023-03-20,8,10.0,In-Store Display
31,1,Sydney CBD,New South Wales,3,White Bread Loaf,Staples,2024-05-12,2024-05-20,9,10.0,In-Store Display
32,1,Sydney CBD,New South Wales,3,White Bread Loaf,Staples,2025-04-03,2025-04-12,10,10.0,In-Store Display
33,1,Sydney CBD,New South Wales,3,White Bread Loaf,Staples,2023-09-30,2023-10-10,11,50.0,Clearance
34,1,Sydney CBD,New South Wales,3,White Bread Loaf,Staples,2025-01-22,2025-01-29,8,25.0,Catalogue
35,1,Sydney CBD,New South Wales,3,White Bread Loaf,Staples,2024-02-22,2024-03-04,12,20.0,Catalogue
36,1,Sydney CBD,New South Wales,3,White Bread Loaf,Staples,2024-03-20,2024-04-01,13,15.0,In-Store Display
37,1,Sydney CBD,New South Wales,3,White Bread Loaf,Staples,2025-07-09,2025-07-13,5,10.0,In-Store Display
38,1,Sydney CBD,New South Wales,3,White Bread Loaf,Staples,2025-12-04,2025-12-15,12,20.0,Catalogue
39,1,Sydney CBD,New South Wales,4,Plain Flour 1kg,Staples,2025-04-22,2025-05-02,11,15.0,In-Store Display
40,1,Sydney CBD,New South Wales,4,Plain Flour 1kg,Staples,2025-10-16,2025-10-28,13,15.0,In-Store Display
41,1,Sydney CBD,New South Wales,4,Plain Flour 1kg,Staples,2025-06-15,2025-06-25,11,30.0,Catalogue
42,1,Sydney CBD,New South Wales,4,Plain Flour 1kg,Staples,2024-03-07,2024-03-18,12,10.0,In-Store Display
43,1,Sydney CBD,New South Wales,4,Plain Flour 1kg,Staples,2023-02-24,2023-03-08,13,25.0,Catalogue
44,1,Sydney CBD,New South Wales,4,Plain Flour 1kg,Staples,2024-11-12,2024-11-20,9,20.0,Catalogue
45,1,Sydney CBD,New South Wales,4,Plain Flour 1kg,Staples,2025-08-24,2025-09-03,11,30.0,Catalogue
46,1,Sydney CBD,New South Wales,4,Plain Flour 1kg,Staples,2023-08-25,2023-08-31,7,15.0,In-Store Display
47,1,Sydney CBD,New South Wales,4,Plain Flour 1kg,Staples,2025-11-24,2025-12-04,11,25.0,Catalogue
48,1,Sydney CBD,New South Wales,4,Plain Flour 1kg,Staples,2023-04-28,2023-05-11,14,15.0,In-Store Display
49,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2025-10-23,2025-10-31,9,25.0,Catalogue
50,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2023-01-19,2023-01-29,11,10.0,In-Store Display
51,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2025-05-22,2025-05-30,9,20.0,Catalogue
52,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2024-01-21,2024-01-29,9,15.0,In-Store Display
53,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2024-09-16,2024-09-29,14,25.0,Catalogue
54,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2023-03-19,2023-03-25,7,20.0,Catalogue
55,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2024-11-17,2024-11-23,7,20.0,Catalogue
56,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2024-10-21,2024-11-01,12,20.0,Catalogue
57,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2024-03-08,2024-03-17,10,30.0,Catalogue
58,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2025-01-15,2025-01-19,5,50.0,Clearance
59,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2025-03-18,2025-03-27,10,25.0,Catalogue
60,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2025-02-14,2025-02-26,13,25.0,Catalogue
61,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2024-08-02,2024-08-08,7,25.0,Catalogue
62,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2024-12-12,2024-12-22,11,30.0,Catalogue
63,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2023-12-12,2023-12-18,7,50.0,Clearance
64,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2023-10-04,2023-10-08,5,20.0,Catalogue
65,1,Sydney CBD,New South Wales,5,Breakfast Cereal 1kg,Staples,2025-08-06,2025-08-16,11,25.0,Catalogue
66,1,Sydney CBD,New South Wales,6,White Sugar 1kg,Staples,2024-08-19,2024-08-27,9,25.0,Catalogue
67,1,Sydney CBD,New South Wales,6,White Sugar 1kg,Staples,2023-02-08,2023-02-18,11,10.0,In-Store Display
68,1,Sydney CBD,New South Wales,6,White Sugar 1kg,Staples,2024-04-14,2024-04-26,13,15.0,In-Store Display
69,1,Sydney CBD,New South Wales,6,White Sugar 1kg,Staples,2023-04-30,2023-05-07,8,10.0,In-Store Display
70,1,Sydney CBD,New South Wales,6,White Sugar 1kg,Staples,2025-09-28,2025-10-03,6,25.0,Catalogue
71,1,Sydney CBD,New South Wales,6,White Sugar 1kg,Staples,2024-07-11,2024-07-22,12,30.0,Catalogue
72,1,Sydney CBD,New South Wales,6,White Sugar 1kg,Staples,2025-11-23,2025-12-06,14,20.0,Catalogue
73,1,Sydney CBD,New South Wales,6,White Sugar 1kg,Staples,2024-12-30,2025-01-04,6,10.0,In-Store Display
74,1,Sydney CBD,New South Wales,6,White Sugar 1kg,Staples,2023-09-21,2023-10-01,11,25.0,Catalogue
75,1,Sydney CBD,New South Wales,7,Full Cream Milk 2L,Dairy & Frozen,2025-02-15,2025-02-25,11,15.0,In-Store Display
76,1,Sydney CBD,New South Wales,7,Full Cream Milk 2L,Dairy & Frozen,2024-03-31,2024-04-08,9,20.0,Catalogue
77,1,Sydney CBD,New South Wales,7,Full Cream Milk 2L,Dairy & Frozen,2023-12-29,2024-01-06,9,20.0,Catalogue
78,1,Sydney CBD,New South Wales,7,Full Cream Milk 2L,Dairy & Frozen,2023-09-24,2023-09-30,7,20.0,Catalogue
79,1,Sydney CBD,New South Wales,7,Full Cream Milk 2L,Dairy & Frozen,2025-11-20,2025-11-25,6,20.0,Catalogue
80,1,Sydney CBD,New South Wales,7,Full Cream Milk 2L,Dairy & Frozen,2025-01-01,2025-01-07,7,15.0,In-Store Display
81,1,Sydney CBD,New South Wales,7,Full Cream Milk 2L,Dairy & Frozen,2024-05-26,2024-05-30,5,15.0,In-Store Display
82,1,Sydney CBD,New South Wales,7,Full Cream Milk 2L,Dairy & Frozen,2024-03-03,2024-03-16,14,10.0,In-Store Display
83,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2025-03-07,2025-03-15,9,50.0,Clearance
84,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2023-09-21,2023-09-25,5,50.0,Clearance
85,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2025-10-04,2025-10-08,5,15.0,In-Store Display
86,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2024-07-04,2024-07-16,13,25.0,Catalogue
87,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2025-04-06,2025-04-16,11,30.0,Catalogue
88,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2024-02-06,2024-02-11,6,15.0,In-Store Display
89,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2025-09-03,2025-09-15,13,30.0,Catalogue
90,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2024-08-16,2024-08-24,9,15.0,In-Store Display
91,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2023-11-01,2023-11-11,11,25.0,Catalogue
92,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2023-02-12,2023-02-17,6,10.0,In-Store Display
93,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2023-11-28,2023-12-06,9,30.0,Catalogue
94,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2023-08-19,2023-08-29,11,25.0,Catalogue
95,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2025-01-30,2025-02-09,11,10.0,In-Store Display
