date,city,province,temperature,humidity,season
2023-01-01,Sydney,New South Wales,18.3,70.2,Summer
2023-01-02,Sydney,New South Wales,18.5,63.2,Summer
2023-01-03,Sydney,New South Wales,14.7,74.6,Summer
2023-01-04,Sydney,New South Wales,15.6,71.6,Summer
2023-01-05,Sydney,New South Wales,19.3,71.8,Summer
2023-01-06,Sydney,New South Wales,20.0,74.0,Summer
2023-01-07,Sydney,New South Wales,22.0,73.6,Summer
2023-01-08,Sydney,New South Wales,18.8,67.6,Summer
2023-01-09,Sydney,New South Wales,18.6,87.6,Summer
2023-01-10,Sydney,New South Wales,18.5,77.5,Summer
2023-01-11,Sydney,New South Wales,16.3,67.6,Summer
2023-01-12,Sydney,New South Wales,15.2,71.2,Summer
2023-01-13,Sydney,New South Wales,21.4,64.6,Summer
2023-01-14,Sydney,New South Wales,23.6,74.6,Summer
2023-01-15,Sydney,New South Wales,24.8,68.6,Summer
2023-01-16,Sydney,New South Wales,23.9,70.8,Summer
2023-01-17,Sydney,New South Wales,24.1,70.9,Summer
2023-01-18,Sydney,New South Wales,25.4,69.2,Summer
2023-01-19,Sydney,New South Wales,25.9,71.8,Summer
2023-01-20,Sydney,New South Wales,22.6,64.5,Summer
2023-01-21,Sydney,New South Wales,23.9,72.9,Summer
2023-01-22,Sydney,New South Wales,26.0,56.6,Summer
2023-01-23,Sydney,New South Wales,26.4,55.5,Summer
2023-01-24,Sydney,New South Wales,25.2,55.1,Summer
2023-01-25,Sydney,New South Wales,27.4,64.8,Summer
2023-01-26,Sydney,New South Wales,30.7,71.3,Summer
2023-01-27,Sydney,New South Wales,30.2,73.4,Summer
2023-01-28,Sydney,New South Wales,31.9,69.8,Summer
2023-01-29,Sydney,New South Wales,26.8,62.9,Summer
2023-01-30,Sydney,New South Wales,23.7,70.3,Summer
2023-01-31,Sydney,New South Wales,24.2,68.4,Summer
2023-02-01,Sydney,New South Wales,24.2,81.3,Summer
2023-02-02,Sydney,New South Wales,20.1,68.7,Summer
2023-02-03,Sydney,New South Wales,23.1,65.6,Summer
2023-02-04,Sydney,New South Wales,25.3,69.5,Summer
2023-02-05,Sydney,New South Wales,23.4,70.8,Summer
2023-02-06,Sydney,New South Wales,23.6,70.0,Summer
2023-02-07,Sydney,New South Wales,26.7,69.8,Summer
2023-02-08,Sydney,New South Wales,28.1,78.6,Summer
2023-02-09,Sydney,New South Wales,26.2,80.4,Summer
2023-02-10,Sydney,New South Wales,29.1,76.0,Summer
2023-02-11,Sydney,New South Wales,29.2,61.6,Summer
2023-02-12,Sydney,New South Wales,28.6,78.8,Summer
2023-02-13,Sydney,New South Wales,30.9,69.5,Summer
2023-02-14,Sydney,New South Wales,29.1,79.4,Summer
2023-02-15,Sydney,New South Wales,25.8,76.0,Summer
2023-02-16,Sydney,New South Wales,18.8,75.8,Summer
2023-02-17,Sydney,New South Wales,16.6,62.1,Summer
2023-02-18,Sydney,New South Wales,17.9,69.0,Summer
2023-02-19,Sydney,New South Wales,19.4,56.8,Summer
2023-02-20,Sydney,New South Wales,18.2,83.0,Summer
2023-02-21,Sydney,New South Wales,19.6,65.6,Summer
2023-02-22,Sydney,New South Wales,22.2,70.6,Summer
2023-02-23,Sydney,New South Wales,24.1,69.9,Summer
2023-02-24,Sydney,New South Wales,27.8,73.2,Summer
2023-02-25,Sydney,New South Wales,27.1,61.1,Summer
2023-02-26,Sydney,New South Wales,23.9,78.3,Summer
2023-02-27,Sydney,New South Wales,21.8,77.7,Summer
2023-02-28,Sydney,New South Wales,18.5,71.3,Summer
2023-03-01,Sydney,New South Wales,20.3,72.5,Autumn
2023-03-02,Sydney,New South Wales,19.9,77.3,Autumn
2023-03-03,Sydney,New South Wales,24.3,74.8,Autumn
2023-03-04,Sydney,New South Wales,26.8,78.0,Autumn
2023-03-05,Sydney,New South Wales,24.1,73.6,Autumn
2023-03-06,Sydney,New South Wales,26.6,64.8,Autumn
2023-03-07,Sydney,New South Wales,22.6,68.6,Autumn
2023-03-08,Sydney,New South Wales,17.4,71.0,Autumn
2023-03-09,Sydney,New South Wales,20.3,72.4,Autumn
2023-03-10,Sydney,New South Wales,17.3,58.5,Autumn
2023-03-11,Sydney,New South Wales,19.1,76.2,Autumn
2023-03-12,Sydney,New South Wales,22.4,70.3,Autumn
2023-03-13,Sydney,New South Wales,18.4,73.1,Autumn
2023-03-14,Sydney,New South Wales,17.5,61.5,Autumn
2023-03-15,Sydney,New South Wales,21.2,61.4,Autumn
2023-03-16,Sydney,New South Wales,23.3,65.4,Autumn
2023-03-17,Sydney,New South Wales,23.6,75.8,Autumn
2023-03-18,Sydney,New South Wales,24.5,68.7,Autumn
2023-03-19,Sydney,New South Wales,25.2,61.4,Autumn
2023-03-20,Sydney,New South Wales,19.7,65.8,Autumn
2023-03-21,Sydney,New South Wales,21.5,74.2,Autumn
2023-03-22,Sydney,New South Wales,22.1,73.9,Autumn
2023-03-23,Sydney,New South Wales,19.8,75.6,Autumn
