date,city,province,temperature,humidity,season,month,temp_norm,temp_anomaly,is_humid
2023-01-01,Sydney,New South Wales,18.3,70.2,Summer,1,22.804301075268818,-4.5,0
2023-01-02,Sydney,New South Wales,18.5,63.2,Summer,1,22.804301075268818,-4.3,0
2023-01-03,Sydney,New South Wales,14.7,74.6,Summer,1,22.804301075268818,-8.1,0
2023-01-04,Sydney,New South Wales,15.6,71.6,Summer,1,22.804301075268818,-7.2,0
2023-01-05,Sydney,New South Wales,19.3,71.8,Summer,1,22.804301075268818,-3.5,0
2023-01-06,Sydney,New South Wales,20.0,74.0,Summer,1,22.804301075268818,-2.8,0
2023-01-07,Sydney,New South Wales,22.0,73.6,Summer,1,22.804301075268818,-0.8,0
2023-01-08,Sydney,New South Wales,18.8,67.6,Summer,1,22.804301075268818,-4.0,0
2023-01-09,Sydney,New South Wales,18.6,87.6,Summer,1,22.804301075268818,-4.2,1
2023-01-10,Sydney,New South Wales,18.5,77.5,Summer,1,22.804301075268818,-4.3,0
2023-01-11,Sydney,New South Wales,16.3,67.6,Summer,1,22.804301075268818,-6.5,0
2023-01-12,Sydney,New South Wales,15.2,71.2,Summer,1,22.804301075268818,-7.6,0
2023-01-13,Sydney,New South Wales,21.4,64.6,Summer,1,22.804301075268818,-1.4,0
2023-01-14,Sydney,New South Wales,23.6,74.6,Summer,1,22.804301075268818,0.8,0
2023-01-15,Sydney,New South Wales,24.8,68.6,Summer,1,22.804301075268818,2.0,0
2023-01-16,Sydney,New South Wales,23.9,70.8,Summer,1,22.804301075268818,1.1,0
2023-01-17,Sydney,New South Wales,24.1,70.9,Summer,1,22.804301075268818,1.3,0
2023-01-18,Sydney,New South Wales,25.4,69.2,Summer,1,22.804301075268818,2.6,0
2023-01-19,Sydney,New South Wales,25.9,71.8,Summer,1,22.804301075268818,3.1,0
2023-01-20,Sydney,New South Wales,22.6,64.5,Summer,1,22.804301075268818,-0.2,0
2023-01-21,Sydney,New South Wales,23.9,72.9,Summer,1,22.804301075268818,1.1,0
2023-01-22,Sydney,New South Wales,26.0,56.6,Summer,1,22.804301075268818,3.2,0
2023-01-23,Sydney,New South Wales,26.4,55.5,Summer,1,22.804301075268818,3.6,0
2023-01-24,Sydney,New South Wales,25.2,55.1,Summer,1,22.804301075268818,2.4,0
2023-01-25,Sydney,New South Wales,27.4,64.8,Summer,1,22.804301075268818,4.6,0
2023-01-26,Sydney,New South Wales,30.7,71.3,Summer,1,22.804301075268818,7.9,0
2023-01-27,Sydney,New South Wales,30.2,73.4,Summer,1,22.804301075268818,7.4,0
2023-01-28,Sydney,New South Wales,31.9,69.8,Summer,1,22.804301075268818,9.1,0
2023-01-29,Sydney,New South Wales,26.8,62.9,Summer,1,22.804301075268818,4.0,0
2023-01-30,Sydney,New South Wales,23.7,70.3,Summer,1,22.804301075268818,0.9,0
2023-01-31,Sydney,New South Wales,24.2,68.4,Summer,1,22.804301075268818,1.4,0
2023-02-01,Sydney,New South Wales,24.2,81.3,Summer,2,24.00941176470588,0.19,1
2023-02-02,Sydney,New South Wales,20.1,68.7,Summer,2,24.00941176470588,-3.91,0
2023-02-03,Sydney,New South Wales,23.1,65.6,Summer,2,24.00941176470588,-0.91,0
2023-02-04,Sydney,New South Wales,25.3,69.5,Summer,2,24.00941176470588,1.29,0
2023-02-05,Sydney,New South Wales,23.4,70.8,Summer,2,24.00941176470588,-0.61,0
2023-02-06,Sydney,New South Wales,23.6,70.0,Summer,2,24.00941176470588,-0.41,0
2023-02-07,Sydney,New South Wales,26.7,69.8,Summer,2,24.00941176470588,2.69,0
2023-02-08,Sydney,New South Wales,28.1,78.6,Summer,2,24.00941176470588,4.09,0
2023-02-09,Sydney,New South Wales,26.2,80.4,Summer,2,24.00941176470588,2.19,1
2023-02-10,Sydney,New South Wales,29.1,76.0,Summer,2,24.00941176470588,5.09,0
2023-02-11,Sydney,New South Wales,29.2,61.6,Summer,2,24.00941176470588,5.19,0
2023-02-12,Sydney,New South Wales,28.6,78.8,Summer,2,24.00941176470588,4.59,0
2023-02-13,Sydney,New South Wales,30.9,69.5,Summer,2,24.00941176470588,6.89,0
2023-02-14,Sydney,New South Wales,29.1,79.4,Summer,2,24.00941176470588,5.09,0
2023-02-15,Sydney,New South Wales,25.8,76.0,Summer,2,24.00941176470588,1.79,0
2023-02-16,Sydney,New South Wales,18.8,75.8,Summer,2,24.00941176470588,-5.21,0
2023-02-17,Sydney,New South Wales,16.6,62.1,Summer,2,24.00941176470588,-7.41,0
2023-02-18,Sydney,New South Wales,17.9,69.0,Summer,2,24.00941176470588,-6.11,0
2023-02-19,Sydney,New South Wales,19.4,56.8,Summer,2,24.00941176470588,-4.61,0
2023-02-20,Sydney,New South Wales,18.2,83.0,Summer,2,24.00941176470588,-5.81,1
2023-02-21,Sydney,New South Wales,19.6,65.6,Summer,2,24.00941176470588,-4.41,0
2023-02-22,Sydney,New South Wales,22.2,70.6,Summer,2,24.00941176470588,-1.81,0
2023-02-23,Sydney,New South Wales,24.1,69.9,Summer,2,24.00941176470588,0.09,0
2023-02-24,Sydney,New South Wales,27.8,73.2,Summer,2,24.00941176470588,3.79,0
2023-02-25,Sydney,New South Wales,27.1,61.1,Summer,2,24.00941176470588,3.09,0
2023-02-26,Sydney,New South Wales,23.9,78.3,Summer,2,24.00941176470588,-0.11,0
2023-02-27,Sydney,New South Wales,21.8,77.7,Summer,2,24.00941176470588,-2.21,0
2023-02-28,Sydney,New South Wales,18.5,71.3,Summer,2,24.00941176470588,-5.51,0
2023-03-01,Sydney,New South Wales,20.3,72.5,Autumn,3,21.366666666666667,-1.07,0
2023-03-02,Sydney,New South Wales,19.9,77.3,Autumn,3,21.366666666666667,-1.47,0
2023-03-03,Sydney,New South Wales,24.3,74.8,Autumn,3,21.366666666666667,2.93,0
2023-03-04,Sydney,New South Wales,26.8,78.0,Autumn,3,21.366666666666667,5.43,0
2023-03-05,Sydney,New South Wales,24.1,73.6,Autumn,3,21.366666666666667,2.73,0
2023-03-06,Sydney,New South Wales,26.6,64.8,Autumn,3,21.366666666666667,5.23,0
2023-03-07,Sydney,New South Wales,22.6,68.6,Autumn,3,21.366666666666667,1.23,0
2023-03-08,Sydney,New South Wales,17.4,71.0,Autumn,3,21.366666666666667,-3.97,0
2023-03-09,Sydney,New South Wales,20.3,72.4,Autumn,3,21.366666666666667,-1.07,0
2023-03-10,Sydney,New South Wales,17.3,58.5,Autumn,3,21.366666666666667,-4.07,0
2023-03-11,Sydney,New South Wales,19.1,76.2,Autumn,3,21.366666666666667,-2.27,0
2023-03-12,Sydney,New South Wales,22.4,70.3,Autumn,3,21.366666666666667,1.03,0
2023-03-13,Sydney,New South Wales,18.4,73.1,Autumn,3,21.366666666666667,-2.97,0
2023-03-14,Sydney,New South Wales,17.5,61.5,Autumn,3,21.366666666666667,-3.87,0
2023-03-15,Sydney,New South Wales,21.2,61.4,Autumn,3,21.366666666666667,-0.17,0
2023-03-16,Sydney,New South Wales,23.3,65.4,Autumn,3,21.366666666666667,1.93,0
2023-03-17,Sydney,New South Wales,23.6,75.8,Autumn,3,21.366666666666667,2.23,0
2023-03-18,Sydney,New South Wales,24.5,68.7,Autumn,3,21.366666666666667,3.13,0
2023-03-19,Sydney,New South Wales,25.2,61.4,Autumn,3,21.366666666666667,3.83,0
2023-03-20,Sydney,New South Wales,19.7,65.8,Autumn,3,21.366666666666667,-1.67,0
2023-03-21,Sydney,New South Wales,21.5,74.2,Autumn,3,21.366666666666667,0.13,0
2023-03-22,Sydney,New South Wales,22.1,73.9,Autumn,3,21.366666666666667,0.73,0
2023-03-23,Sydney,New South Wales,19.8,75.6,Autumn,3,21.366666666666667,-1.57,0
2023-03-24,Sydney,New South Wales,18.1,63.7,Autumn,3,21.366666666666667,-3.27,0
2023-03-25,Sydney,New South Wales,19.7,66.7,Autumn,3,21.366666666666667,-1.67,0
2023-03-26,Sydney,New South Wales,17.1,70.6,Autumn,3,21.366666666666667,-4.27,0
2023-03-27,Sydney,New South Wales,19.6,70.0,Autumn,3,21.366666666666667,-1.77,0
2023-03-28,Sydney,New South Wales,18.1,71.5,Autumn,3,21.366666666666667,-3.27,0
2023-03-29,Sydney,New South Wales,21.9,66.5,Autumn,3,21.366666666666667,0.53,0
2023-03-30,Sydney,New South Wales,22.6,67.1,Autumn,3,21.366666666666667,1.23,0
2023-03-31,Sydney,New South Wales,21.5,75.7,Autumn,3,21.366666666666667,0.13,0
2023-04-01,Sydney,New South Wales,18.3,72.0,Autumn,4,17.466666666666665,0.83,0
2023-04-02,Sydney,New South Wales,18.4,70.2,Autumn,4,17.466666666666665,0.93,0
2023-04-03,Sydney,New South Wales,19.8,79.2,Autumn,4,17.466666666666665,2.33,0
2023-04-04,Sydney,New South Wales,16.7,64.5,Autumn,4,17.466666666666665,-0.77,0
2023-04-05,Sydney,New South Wales,18.1,88.4,Autumn,4,17.466666666666665,0.63,1
2023-04-06,Sydney,New South Wales,19.8,80.8,Autumn,4,17.466666666666665,2.33,1
2023-04-07,Sydney,New South Wales,16.6,68.7,Autumn,4,17.466666666666665,-0.87,0
2023-04-08,Sydney,New South Wales,21.3,79.8,Autumn,4,17.466666666666665,3.83,0
2023-04-09,Sydney,New South Wales,20.8,71.5,Autumn,4,17.466666666666665,3.33,0
2023-04-10,Sydney,New South Wales,21.0,76.3,Autumn,4,17.466666666666665,3.53,0
2023-04-11,Sydney,New South Wales,22.0,71.8,Autumn,4,17.466666666666665,4.53,0
2023-04-12,Sydney,New South Wales,23.4,89.4,Autumn,4,17.466666666666665,5.93,1
2023-04-13,Sydney,New South Wales,20.1,67.0,Autumn,4,17.466666666666665,2.63,0
2023-04-14,Sydney,New South Wales,18.8,69.9,Autumn,4,17.466666666666665,1.33,0
2023-04-15,Sydney,New South Wales,17.9,56.7,Autumn,4,17.466666666666665,0.43,0
2023-04-16,Sydney,New South Wales,19.4,66.2,Autumn,4,17.466666666666665,1.93,0
2023-04-17,Sydney,New South Wales,15.5,62.3,Autumn,4,17.466666666666665,-1.97,0
2023-04-18,Sydney,New South Wales,14.1,61.8,Autumn,4,17.466666666666665,-3.37,0
2023-04-19,Sydney,New South Wales,14.7,77.1,Autumn,4,17.466666666666665,-2.77,0
2023-04-20,Sydney,New South Wales,16.8,67.6,Autumn,4,17.466666666666665,-0.67,0
2023-04-21,Sydney,New South Wales,20.7,66.4,Autumn,4,17.466666666666665,3.23,0
2023-04-22,Sydney,New South Wales,19.3,64.9,Autumn,4,17.466666666666665,1.83,0
2023-04-23,Sydney,New South Wales,18.8,73.4,Autumn,4,17.466666666666665,1.33,0
2023-04-24,Sydney,New South Wales,15.6,65.5,Autumn,4,17.466666666666665,-1.87,0
2023-04-25,Sydney,New South Wales,21.4,63.7,Autumn,4,17.466666666666665,3.93,0
2023-04-26,Sydney,New South Wales,21.4,68.9,Autumn,4,17.466666666666665,3.93,0
2023-04-27,Sydney,New South Wales,20.7,68.7,Autumn,4,17.466666666666665,3.23,0
2023-04-28,Sydney,New South Wales,18.8,71.1,Autumn,4,17.466666666666665,1.33,0
2023-04-29,Sydney,New South Wales,19.3,75.5,Autumn,4,17.466666666666665,1.83,0
2023-04-30,Sydney,New South Wales,24.4,68.1,Autumn,4,17.466666666666665,6.93,0
2023-05-01,Sydney,New South Wales,23.2,80.9,Autumn,5,16.79247311827957,6.41,1
2023-05-02,Sydney,New South Wales,21.6,64.2,Autumn,5,16.79247311827957,4.81,0
2023-05-03,Sydney,New South Wales,20.3,62.0,Autumn,5,16.79247311827957,3.51,0
2023-05-04,Sydney,New South Wales,18.7,66.1,Autumn,5,16.79247311827957,1.91,0
2023-05-05,Sydney,New South Wales,19.5,71.9,Autumn,5,16.79247311827957,2.71,0
2023-05-06,Sydney,New South Wales,14.3,73.8,Autumn,5,16.79247311827957,-2.49,0
2023-05-07,Sydney,New South Wales,16.8,58.6,Autumn,5,16.79247311827957,0.01,0
2023-05-08,Sydney,New South Wales,18.4,57.7,Autumn,5,16.79247311827957,1.61,0
2023-05-09,Sydney,New South Wales,16.3,70.5,Autumn,5,16.79247311827957,-0.49,0
2023-05-10,Sydney,New South Wales,16.6,70.2,Autumn,5,16.79247311827957,-0.19,0
2023-05-11,Sydney,New South Wales,19.2,76.0,Autumn,5,16.79247311827957,2.41,0
2023-05-12,Sydney,New South Wales,18.6,74.5,Autumn,5,16.79247311827957,1.81,0
2023-05-13,Sydney,New South Wales,15.5,70.7,Autumn,5,16.79247311827957,-1.29,0
2023-05-14,Sydney,New South Wales,15.0,79.5,Autumn,5,16.79247311827957,-1.79,0
2023-05-15,Sydney,New South Wales,14.8,75.1,Autumn,5,16.79247311827957,-1.99,0
2023-05-16,Sydney,New South Wales,14.3,62.9,Autumn,5,16.79247311827957,-2.49,0
2023-05-17,Sydney,New South Wales,15.9,74.1,Autumn,5,16.79247311827957,-0.89,0
2023-05-18,Sydney,New South Wales,15.4,55.7,Autumn,5,16.79247311827957,-1.39,0
2023-05-19,Sydney,New South Wales,13.5,78.8,Autumn,5,16.79247311827957,-3.29,0
2023-05-20,Sydney,New South Wales,16.0,75.5,Autumn,5,16.79247311827957,-0.79,0
2023-05-21,Sydney,New South Wales,17.3,71.6,Autumn,5,16.79247311827957,0.51,0
2023-05-22,Sydney,New South Wales,17.3,78.7,Autumn,5,16.79247311827957,0.51,0
2023-05-23,Sydney,New South Wales,14.9,78.8,Autumn,5,16.79247311827957,-1.89,0
2023-05-24,Sydney,New South Wales,16.5,64.5,Autumn,5,16.79247311827957,-0.29,0
2023-05-25,Sydney,New South Wales,16.8,74.1,Autumn,5,16.79247311827957,0.01,0
2023-05-26,Sydney,New South Wales,16.5,67.2,Autumn,5,16.79247311827957,-0.29,0
2023-05-27,Sydney,New South Wales,13.5,64.7,Autumn,5,16.79247311827957,-3.29,0
2023-05-28,Sydney,New South Wales,13.5,65.7,Autumn,5,16.79247311827957,-3.29,0
2023-05-29,Sydney,New South Wales,16.6,72.1,Autumn,5,16.79247311827957,-0.19,0
2023-05-30,Sydney,New South Wales,12.9,74.0,Autumn,5,16.79247311827957,-3.89,0
2023-05-31,Sydney,New South Wales,14.6,71.8,Autumn,5,16.79247311827957,-2.19,0
2023-06-01,Sydney,New South Wales,13.6,75.6,Winter,6,14.016666666666667,-0.42,0
2023-06-02,Sydney,New South Wales,15.2,76.7,Winter,6,14.016666666666667,1.18,0
2023-06-03,Sydney,New South Wales,16.5,75.3,Winter,6,14.016666666666667,2.48,0
2023-06-04,Sydney,New South Wales,16.8,68.8,Winter,6,14.016666666666667,2.78,0
2023-06-05,Sydney,New South Wales,16.6,72.9,Winter,6,14.016666666666667,2.58,0
2023-06-06,Sydney,New South Wales,12.5,64.9,Winter,6,14.016666666666667,-1.52,0
2023-06-07,Sydney,New South Wales,9.7,66.5,Winter,6,14.016666666666667,-4.32,0
2023-06-08,Sydney,New South Wales,12.5,72.7,Winter,6,14.016666666666667,-1.52,0
2023-06-09,Sydney,New South Wales,11.1,70.7,Winter,6,14.016666666666667,-2.92,0
2023-06-10,Sydney,New South Wales,11.8,68.4,Winter,6,14.016666666666667,-2.22,0
2023-06-11,Sydney,New South Wales,10.7,69.8,Winter,6,14.016666666666667,-3.32,0
2023-06-12,Sydney,New South Wales,12.7,71.2,Winter,6,14.016666666666667,-1.32,0
2023-06-13,Sydney,New South Wales,14.2,80.7,Winter,6,14.016666666666667,0.18,1
2023-06-14,Sydney,New South Wales,15.9,76.8,Winter,6,14.016666666666667,1.88,0
2023-06-15,Sydney,New South Wales,13.9,80.8,Winter,6,14.016666666666667,-0.12,1
2023-06-16,Sydney,New South Wales,13.9,72.8,Winter,6,14.016666666666667,-0.12,0
2023-06-17,Sydney,New South Wales,8.8,66.9,Winter,6,14.016666666666667,-5.22,0
2023-06-18,Sydney,New South Wales,10.6,65.7,Winter,6,14.016666666666667,-3.42,0
2023-06-19,Sydney,New South Wales,10.7,67.6,Winter,6,14.016666666666667,-3.32,0
2023-06-20,Sydney,New South Wales,14.8,68.1,Winter,6,14.016666666666667,0.78,0
2023-06-21,Sydney,New South Wales,12.4,73.3,Winter,6,14.016666666666667,-1.62,0
