store_item,mean_volume,cv,zero_rate,cv_band,volume_band,winner
11_27,12.428295685681029,0.4445593479657973,0.0,low volatility,low volume,LightGBM
12_30,3.6977544002175637,0.7769375778115115,0.06659836065573771,high volatility,low volume,LightGBM
12_9,18.368251302643184,0.41576231230986616,0.0010245901639344263,low volatility,mid volume,LightGBM
1_12,19.962725314620513,0.43983622446915727,0.0,low volatility,mid volume,LightGBM
1_28,11.702682631298313,0.5880975588132664,0.0010245901639344263,high volatility,mid volume,LightGBM
1_3,53.36970857273618,0.3478814994924503,0.0,low volatility,high volume,LightGBM
1_9,30.902274494948383,0.3868775785590378,0.0010245901639344263,low volatility,high volume,LightGBM
2_12,15.898167635714424,0.4724614494618599,0.0,high volatility,mid volume,LightGBM
2_19,43.99752813344153,0.3866134292836196,0.0,low volatility,high volume,LightGBM
2_4,9.050840068718873,0.50102394472711,0.0020491803278688526,high volatility,low volume,LightGBM
3_28,7.754115357812176,0.660486233426208,0.010245901639344262,high volatility,low volume,LightGBM
4_10,21.80063685040173,0.4964483161774592,0.0,high volatility,high volume,LightGBM
4_21,40.211176055287346,0.38676001767101353,0.0,low volatility,high volume,LightGBM
4_24,23.982598964369554,0.37764538101067835,0.0010245901639344263,low volatility,mid volume,LightGBM
5_3,47.64084327771906,0.3040098663318561,0.0,low volatility,high volume,LightGBM
6_10,15.20821201875227,0.5829200250040216,0.0,high volatility,mid volume,LightGBM
6_16,10.025420034359437,0.5185896656795076,0.0020491803278688526,high volatility,low volume,LightGBM
6_8,17.36517753215138,0.41087810771768063,0.0020491803278688526,low volatility,mid volume,LightGBM
7_25,13.327267696085807,0.4453887053737666,0.0010245901639344263,high volatility,low volume,LightGBM
7_6,10.94120892117789,0.4575310463485946,0.0020491803278688526,high volatility,low volume,LightGBM
7_9,27.202682631298313,0.40375923544852044,0.0,low volatility,high volume,LightGBM
8_15,36.27032257927443,0.3809113331817749,0.0,low volatility,high volume,LightGBM
8_29,5.935264598511426,0.634672598627351,0.012295081967213115,high volatility,low volume,LightGBM
9_10,14.349808679692364,0.5894831423139297,0.0010245901639344263,high volatility,mid volume,LightGBM
