item_id,driver,method,mass,temp_effect,elasticity,abs_temp_effect,abs_elasticity
1,temperature,SHAP_LightGBM,0.13963692829158786,0.0,-0.55,0.0,0.55
2,temperature,SHAP_LightGBM,0.15938599106057602,-0.004,-0.7,0.004,0.7
3,temperature,SHAP_LightGBM,0.3391799837194958,0.0,-0.45,0.0,0.45
4,temperature,SHAP_LightGBM,0.20630927679630257,-0.008,-0.6,0.008,0.6
5,temperature,SHAP_LightGBM,0.1700565552119828,-0.006,-0.8,0.006,0.8
6,temperature,SHAP_LightGBM,0.1221485844876701,0.0,-0.5,0.0,0.5
7,temperature,SHAP_LightGBM,0.5128676204327911,0.002,-0.4,0.002,0.4
8,temperature,SHAP_LightGBM,0.24473339772010705,0.0,-0.95,0.0,0.95
9,temperature,SHAP_LightGBM,0.41705857093350884,0.01,-0.9,0.01,0.9
10,temperature,SHAP_LightGBM,0.4814364228318116,0.045,-1.35,0.045,1.35
11,temperature,SHAP_LightGBM,0.20731179255700743,-0.006,-0.75,0.006,0.75
12,temperature,SHAP_LightGBM,0.12188079074238113,-0.025,-1.0,0.025,1.0
13,temperature,SHAP_LightGBM,0.9874966502128579,0.035,-1.45,0.035,1.45
14,temperature,SHAP_LightGBM,0.7305342270793431,0.02,-1.15,0.02,1.15
15,temperature,SHAP_LightGBM,1.0030713843573773,0.042,-1.1,0.042,1.1
16,temperature,SHAP_LightGBM,0.2080497253845538,-0.024,-1.2,0.024,1.2
17,temperature,SHAP_LightGBM,0.21798025501745552,-0.02,-0.85,0.02,0.85
18,temperature,SHAP_LightGBM,0.33446803240484757,0.05,-1.3,0.05,1.3
19,temperature,SHAP_LightGBM,0.6538111630821846,0.015,-1.5,0.015,1.5
20,temperature,SHAP_LightGBM,0.25482631884687046,-0.005,-1.25,0.005,1.25
21,temperature,SHAP_LightGBM,0.13902825471257016,-0.018,-1.4,0.018,1.4
22,temperature,SHAP_LightGBM,0.10938549047259584,0.0,-1.15,0.0,1.15
23,temperature,SHAP_LightGBM,0.15601730495422816,0.004,-1.1,0.004,1.1
24,temperature,SHAP_LightGBM,0.16295968639531425,0.0,-0.9,0.0,0.9
25,temperature,SHAP_LightGBM,0.1133584978577268,0.0,-1.05,0.0,1.05
26,temperature,SHAP_LightGBM,0.13932285718664608,0.0,-0.75,0.0,0.75
27,temperature,SHAP_LightGBM,0.14549433576104306,0.0,-0.8,0.0,0.8
28,temperature,SHAP_LightGBM,0.17200680294466753,0.06,-1.1,0.06,1.1
29,temperature,SHAP_LightGBM,0.24222200709739286,0.045,-0.95,0.045,0.95
30,temperature,SHAP_LightGBM,0.10038498204251178,-0.045,-0.7,0.045,0.7
1,temperature,SHAP_XGBoost,0.22452301398549868,0.0,-0.55,0.0,0.55
2,temperature,SHAP_XGBoost,0.22763847636866152,-0.004,-0.7,0.004,0.7
3,temperature,SHAP_XGBoost,0.4567846670423175,0.0,-0.45,0.0,0.45
4,temperature,SHAP_XGBoost,0.2724770780329345,-0.008,-0.6,0.008,0.6
5,temperature,SHAP_XGBoost,0.25618775909696734,-0.006,-0.8,0.006,0.8
6,temperature,SHAP_XGBoost,0.16800894275029454,0.0,-0.5,0.0,0.5
7,temperature,SHAP_XGBoost,0.7478835474863098,0.002,-0.4,0.002,0.4
8,temperature,SHAP_XGBoost,0.3509742354080598,0.0,-0.95,0.0,0.95
9,temperature,SHAP_XGBoost,0.5213165691619167,0.01,-0.9,0.01,0.9
10,temperature,SHAP_XGBoost,0.5433437434104057,0.045,-1.35,0.045,1.35
11,temperature,SHAP_XGBoost,0.2707066127601031,-0.006,-0.75,0.006,0.75
12,temperature,SHAP_XGBoost,0.21233923218222672,-0.025,-1.0,0.025,1.0
13,temperature,SHAP_XGBoost,1.3527159873358565,0.035,-1.45,0.035,1.45
14,temperature,SHAP_XGBoost,0.8504426600198858,0.02,-1.15,0.02,1.15
15,temperature,SHAP_XGBoost,1.230236708393346,0.042,-1.1,0.042,1.1
16,temperature,SHAP_XGBoost,0.250860806193799,-0.024,-1.2,0.024,1.2
17,temperature,SHAP_XGBoost,0.28983825324092577,-0.02,-0.85,0.02,0.85
18,temperature,SHAP_XGBoost,0.4049297045938252,0.05,-1.3,0.05,1.3
19,temperature,SHAP_XGBoost,0.7914151670453793,0.015,-1.5,0.015,1.5
